Protein Domain,AI Domain,Degree,Betweeness,Eigen Closness,Trails,Drugs,Cosmic,Cancer gene,Publications,Class
0,0,0.002631579,0,1.33E-06,0,0,0,1,0.003243744,1
0.6,0,0.05,0.017477477,5.28E-05,0,0,1,1,0,1
0,0,0.309210526,0.044565117,0.001278884,1,1,0,1,0.014828545,1
0,0,0.007894737,0.000676577,2.42E-05,0,0,1,1,0,1
0,1,0.034210526,0.003918919,1.01E-04,0,0,1,1,0.004170528,1
0,0,0.210526316,0.020573865,0.002217808,0,0,0,1,0.000463392,1
0,0,0.047368421,0.006441441,1.60E-05,0,0,1,1,0,1
1,0,0.069736842,0.012882883,2.92E-04,0,0,1,1,0.037071362,1
0,0,0.068421053,0.006513514,7.11E-04,1,0,1,1,0.000926784,1
0.333333333,0,0.028947368,0.000259459,9.14E-05,0,0,0,1,0.000926784,1
0.857142857,0,0.060526316,0.000437838,2.35E-04,0,0,0,1,0.000463392,1
0,0,0.107894737,0.003369369,7.37E-04,0,0,1,1,0.001853568,1
0,0,0.005263158,0.000169369,1.83E-04,0,0,0,1,0.000463392,1
1,0,0.010526316,0.00031982,5.76E-06,0,0,0,1,0.007877665,1
0.5,0,0.064473684,0.000318919,1.30E-04,0,0,0,1,0.002780352,1
0,0,0.007894737,2.88E-06,7.95E-05,0,0,1,1,0.005097312,1
0.666666667,0,0.009210526,0.003225225,6.17E-06,0,0,1,1,0.008341057,1
0,0,0.056578947,0.005306306,8.53E-05,0,0,0,1,0,1
0.5,0,0.335526316,0.151074339,0.002361263,1,1,1,1,0.033364226,1
0.5,0,0.009210526,0.00554955,2.24E-05,0,0,1,1,0.001390176,1
0,0,0.001315789,0,3.72E-44,0,0,1,1,0,1
0,0,0.039473684,0.00381982,1.12E-04,0,0,1,1,0.000926784,1
0,0,0.221052632,0.080076823,0.001196458,1,0,1,1,0.001853568,1
0.416666667,0,0.078947368,0.006202838,0.00120236,0,0,0,1,0.004170528,1
0.5,0,0.078947368,0.000396396,2.26E-04,1,1,0,1,0.007877665,1
0.4,0,0.072368421,0.007684685,4.35E-05,0,0,1,1,0,1
0.2,0,0.107894737,0.014234234,9.39E-05,0,0,1,1,0,1
0,0,0.019736842,0.000153153,4.70E-05,0,0,0,1,0.001390176,1
0,0,0.021052632,0.001333333,1.57E-05,0,0,1,1,0.000463392,1
0,0,0.007894737,0.000109009,3.41E-04,0,0,0,1,0,1
0,0,0.035526316,0.000415315,1.51E-04,0,0,0,1,0.004170528,1
1,0,0.013157895,0.00318018,3.26E-05,0,0,1,1,0.000926784,1
1,1,0.011842105,0.001351351,1.57E-05,0,0,1,1,0.035681186,1
0.25,0,0.028947368,0.003936937,2.16E-05,0,0,1,1,0.021779425,1
0,0,0.027631579,0.006432432,1.09E-04,0,0,0,1,0.000463392,1
0,0,0.088157895,0.008702703,9.34E-05,0,0,1,1,0.011121409,1
0.5,0,0.077631579,0.001063063,2.02E-04,0,0,1,1,0.000926784,1
0,0,0.023684211,0.000945946,2.84E-05,0,0,1,1,0.000463392,1
1,1,0.010526316,0.00290991,1.01E-05,0,0,1,1,0.008804449,1
0,0,0.322368421,0.137216047,0.03181903,0,0,1,1,0.03892493,1
0,0,0.117105263,0.024144144,3.59E-04,0,0,1,1,0.022242817,1
0,0,0.057894737,0.000209009,2.34E-04,0,0,0,1,0.00231696,1
0,0,0.022368421,0.001198198,1.16E-05,0,0,1,1,0,1
0,0,0.060526316,0.006117117,3.60E-04,0,0,0,1,0.004170528,1
0.666666667,1,0.017105263,0.001657658,5.45E-05,1,0,0,1,0.001853568,1
0,0,0.006578947,0.000114414,3.11E-05,0,0,1,1,0,1
0,0,0.048684211,0.00118018,1.12E-04,0,0,1,1,0.003707136,1
0.050632911,0,0.1,0.001635015,0.001903934,0,0,0,1,0.007877665,1
1,0,0.153947368,0.051711712,3.56E-04,0,0,1,1,0,1
0,0,0.017105263,0.006045045,6.36E-05,0,0,0,1,0.001853568,1
0,0,0.017105263,0.000835135,1.47E-05,0,0,1,1,0.00231696,1
0,0,0.014473684,0,1.37E-05,0,0,1,1,0.001390176,1
0,0,0.048684211,0.00127027,3.56E-05,0,0,0,1,0.006024096,1
0,0,0.065789474,0.00309009,3.54E-04,0,0,1,1,0.000463392,1
0,0,0.015789474,0.000834234,1.47E-04,0,0,1,1,0.001853568,1
0.0625,0,0.038157895,0.003585586,3.58E-05,1,0,1,1,0.00231696,1
